Topic,TimeQueried,Video_Title,Video_ID,Published_AT,Duration,ViewCount,LikeCount,DislikeCount,favoriteCount,Definition,Caption,Zscore_Trend,Score
Artificial Intelligence,2020-08-22 0:45:34,Will This Trick Your Mind? (Artificial Intelligence TEST),KSdU5B_fdVo,2019-01-24T18:54:38Z,259,1910161,40426,1627,0,hd,True,0,1.04173779
Artificial Intelligence,2020-08-22 0:45:34,NWYR - Artificial Intelligence,dnb0tnBUfz0,2019-04-29T10:00:14Z,288,1348860,12970,219,0,hd,False,1,1.038175031
Artificial Intelligence,2020-08-22 0:45:34,Facebook A.I. Robots shut down after creating their own language |Artificial Intelligence |#facebook,QaoDXYYtgK0,2017-07-31T23:32:53Z,159,2344405,17559,1643,0,hd,False,1,1.034471335
Artificial Intelligence,2020-08-22 0:45:34,A.I. Artificial Intelligence - Official® Trailer [HD],_19pRsZRiz4,2013-05-22T03:40:33Z,70,1412607,5144,193,0,hd,False,1,1.034306181
Artificial Intelligence,2020-08-22 0:45:34,Artificial Intelligence Controls My Life for a Day,uZ7gkw6cVB4,2019-11-05T11:44:07Z,344,661291,35387,409,0,hd,False,1,1.034305332
Artificial Intelligence,2020-08-22 0:45:34,Machine Learning Basics | What Is Machine Learning? | Introduction To Machine Learning | Simplilearn,ukzFI9rgwfU,2018-09-19T14:57:02Z,472,1377814,18269,656,0,hd,False,1,1.033243597
Artificial Intelligence,2020-08-22 0:45:34,How to Give Your Smart Mirror Artificial Intelligence,ejnE6DM-hqU,2016-10-12T04:48:00Z,2142,1057084,14898,366,0,hd,False,1,1.029233144
Artificial Intelligence,2020-08-22 0:45:34,A.I. Artificial Intelligence - Nostalgia Critic,0EVOxDVSAfE,2016-01-05T21:00:00Z,2465,1214479,22367,840,0,hd,False,1,1.028296025
Artificial Intelligence,2020-08-22 18:04:41,Artificial Intelligence &amp; Personhood: Crash Course Philosophy #23,39EdqUbj92U,2016-08-08T22:09:05Z,566,738462,16606,188,0,hd,True,0,1.0266859990000001
Artificial Intelligence,2020-08-22 0:45:34,Joe Rogan Talks Artificial Intelligence with a Yale Professor,4svUKPeDa5A,2019-03-28T19:32:31Z,1334,1411955,14268,859,0,hd,False,1,1.026497286
Artificial Intelligence,2020-08-22 0:45:34,5 Amazing BIONIC ROBOTS with Artificial Intelligence by Festo Robotics,BaDz12Yt0rw,2018-12-16T13:49:17Z,639,1116637,12950,577,0,hd,False,1,1.0245089109999999
