Topic,TimeQueried,Video_Title,Video_ID,Published_AT,Duration,ViewCount,LikeCount,DislikeCount,favoriteCount,Definition,Caption,Zscore_Trend,Score
Machine Learning,2020-08-22 0:45:34,What is Artificial Intelligence (or Machine Learning)?,mJeNghZXtMo,2017-01-30T20:19:44Z,375,777442,6502,271,0,hd,True,0,1.018038145
Machine Learning,2020-08-22 0:45:34,A friendly introduction to Deep Learning and Neural Networks,BR9h47Jtqyw,2016-12-27T07:21:11Z,2000,578929,11649,257,0,hd,False,1,1.017433333
Machine Learning,2020-08-22 0:45:34,What is machine learning?,WXHM_i-fgGo,2015-07-07T12:48:35Z,685,466947,11534,169,0,hd,False,1,1.016554146
Machine Learning,2020-08-22 0:45:34,Brasileiro programa Inteligência Artificial que aprende a DIRIGIR SOZINHA!!! [Machine Learning],iCbks6Q-xfM,2019-08-01T14:02:29Z,513,332894,27906,663,0,hd,True,0,1.014861859
Machine Learning,2020-08-22 0:45:34,Roadmap: How to Learn Machine Learning in 6 Months,MOdlp1d0PNA,2017-05-27T18:16:14Z,1422,437368,9898,160,0,hd,False,1,1.0147723309999999
Machine Learning,2020-08-22 0:45:34,Python Machine Learning &amp; AI Mega Course - Learn 4 Different Areas of ML &amp; AI,WFr2WgN9_xE,2019-11-23T19:17:47Z,27253,239377,13623,91,0,hd,False,1,1.014310487
Machine Learning,2020-08-22 0:45:34,5 Must Have Skills To Become Machine Learning Engineer,DZ7xuZ1-uh8,2018-02-07T01:06:12Z,295,390757,15510,338,0,hd,False,1,1.013983469
Machine Learning,2020-08-22 0:45:34,Deep Learning: Intelligence from Big Data,czLI3oLDe8M,2014-10-31T20:59:43Z,5057,560136,3837,125,0,hd,False,1,1.0139064309999999
Machine Learning,2020-08-22 0:45:34,Why Deep Learning Now? | AI Revolution Documentary,b3IyDNB_ciI,2018-10-30T16:50:08Z,826,319593,13012,185,0,hd,False,1,1.013719735
Machine Learning,2020-08-22 0:45:34,¿Qué es el Machine Learning?¿Y Deep Learning? Un mapa conceptual | DotCSV,KytW151dpqU,2017-11-01T20:53:19Z,467,254059,9756,75,0,hd,False,1,1.012056427
Machine Learning,2020-08-22 0:45:34,Python Chat Bot Tutorial - Chatbot with Deep Learning (Part 1),wypVcNIH6D4,2019-05-28T00:44:52Z,971,396931,6543,137,0,hd,False,1,1.011715207
Machine Learning,2020-08-22 0:45:34,An introduction to Reinforcement Learning,JgvyzIkgxF0,2018-04-02T20:54:48Z,987,281351,8771,114,0,hd,False,1,1.011102682
Machine Learning,2020-08-22 0:45:34,How Machine Learning Drives the Deceptive World of Deepfakes,gsv1OsCEad0,2019-12-15T11:59:52Z,452,221020,7354,121,0,hd,True,0,1.008379298
Machine Learning,2020-08-22 0:45:34,Mathematics of Machine Learning,8onB7rPG4Pk,2018-03-17T15:30:07Z,593,386317,9141,387,0,hd,True,0,1.0078945879999999
Machine Learning,2020-08-22 18:04:41,Deep Learning - Computerphile,l42lr8AlrHk,2016-04-19T19:13:08Z,666,380174,5755,273,0,hd,True,0,1.0076769159999999
Machine Learning,2020-08-22 0:45:34,Machine Learning Tutorial Part - 1 | Machine Learning Tutorial For Beginners  Part - 1 | Simplilearn,DWsJc1xnOZo,2018-09-27T15:00:04Z,3760,316739,2907,107,0,hd,False,1,1.007622837
Machine Learning,2020-08-22 0:45:34,ML lec 01 - 기본적인 Machine Learning 의 용어와 개념 설명,qPMeuL2LIqY,2016-03-21T12:23:16Z,749,288406,1383,25,0,hd,False,1,1.007579785
Machine Learning,2020-08-22 0:45:34,$25000 Deep Learning Workstation liquidcooling build,kztCOkFFegY,2020-02-28T09:06:20Z,295,352259,8260,340,0,hd,False,1,1.0074271609999998
Machine Learning,2020-08-22 0:45:34,Introduction - Deep Learning and Neural Networks with Python and Pytorch p.1,BzcBsTou0C0,2019-09-23T13:57:15Z,1489,204385,4206,68,0,hd,False,1,1.0067315479999999
Machine Learning,2020-08-22 0:45:34,#4 O QUE É MACHINE LEARNING (INTELIGÊNCIA ARTIFICIAL)? #Descomplicado por Marcelo Tas,Z1YHbl0lh88,2017-04-16T14:00:03Z,323,229219,3987,95,0,hd,False,1,1.006572437
Machine Learning,2020-08-22 18:04:41,Machine Learning APIs by Example (Google I/O &#39;17),ETeeSYMGZn0,2017-05-19T20:53:25Z,2226,216309,3579,67,0,hd,True,0,1.0065647
Machine Learning,2020-08-22 0:45:34,How to Get Started with Machine Learning &amp; AI,nl7kDPYD20A,2019-09-29T16:00:13Z,633,131706,6514,83,0,hd,False,1,1.00638819
Machine Learning,2020-08-22 0:45:34,Machine Learning: Tutorial prático usando apenas o navegador (é sensacional!!!),JyGGMyR3x5I,2019-11-08T14:00:32Z,2575,88142,6423,41,0,hd,False,1,1.006183203
Machine Learning,2020-08-22 0:45:34,Machine Learning With Python | Machine Learning Tutorial | Python Machine Learning | Simplilearn,Q59X518JZHE,2018-03-01T13:47:21Z,3332,209370,2893,60,0,hd,False,1,1.006023254
Machine Learning,2020-08-22 0:45:34,5 Beginner Friendly Steps to Learn Machine Learning,IMMDPzECrf0,2019-09-15T12:00:59Z,822,94930,5706,47,0,hd,False,1,1.005665724
Machine Learning,2020-08-22 18:04:41,The Rise of Artificial Intelligence through Deep Learning | Yoshua Bengio | TEDxMontreal,uawLjkSI7Mo,2017-05-17T20:00:11Z,1074,246344,3553,140,0,hd,True,0,1.005659157
Machine Learning,2020-08-22 0:45:34,Wie funktioniert eigentlich Machine Learning?,ya_6I9IVMzY,2018-03-01T13:24:53Z,491,129387,4975,70,0,hd,True,0,1.005438314
Machine Learning,2020-08-22 0:45:34,Machine Learning Projects for Beginners (Datasets Included),BOhgGA7Eu5E,2019-09-25T13:48:52Z,418,148713,5106,116,0,hd,False,1,1.004990688
Machine Learning,2020-08-22 0:45:34,Logistic Regression in Python | Logistic Regression Example | Machine Learning Algorithms | Edureka,VCJdg7YBbAQ,2018-05-29T13:51:28Z,3221,199147,2816,95,0,hd,False,1,1.004935634
Machine Learning,2020-08-22 0:45:34,Machine Learning Tutorial Python - 2: Linear Regression Single Variable,8jazNUpO3lQ,2018-07-01T19:19:47Z,914,176806,2402,67,0,hd,False,1,1.004691992
Machine Learning,2020-08-22 18:04:41,What is Deep Learning | Deep Learning Simplified | Deep Learning Tutorial | Edureka,dafuAz_CV7Q,2017-05-10T15:56:07Z,1660,214313,2166,102,0,hd,True,0,1.00465286
Machine Learning,2020-08-22 0:45:34,"Deep Learning with PyTorch Live Course - Tensors, Gradient Descent &amp; Linear Regression (Part 1 of 6)",vo_fUOk-IKk,2020-05-23T18:02:44Z,7524,101028,4139,46,0,hd,False,1,1.004634113
Machine Learning,2020-08-22 0:45:34,Machine Learning Tutorial | Learn Machine Learning | Intellipaat,zNhTOPQeRaU,2019-12-14T05:55:32Z,42143,212259,4953,206,0,hd,True,0,1.00443171
Machine Learning,2020-08-22 0:45:34,What is Machine Learning? | Machine Learning Basics | Machine Learning Tutorial | Edureka,Pj0neYUp9Tc,2018-03-16T14:31:00Z,1041,188969,2332,90,0,hd,False,1,1.004425434
Machine Learning,2020-08-22 0:45:34,Support Vector Machine (SVM) Part-1 ll Machine Learning Course Explained in Hindi,xLkk6MUrvrw,2019-04-25T07:22:50Z,467,115435,3671,59,0,hd,False,1,1.0043391609999999
